,author,statement,source,date,target,BinaryNumTarget
923,Ciara O'Rourke,“Nancy Pelosi has invited all illegals to her mansion at 2724 Pacific Ave San Francisco CA.”,Viral image,"February 24, 2021",false,1
924,Bill McCarthy,"""There's no evidence that white supremacists were responsible for what happened on Jan. 6. That's a lie.”",Tucker Carlson,"February 23, 2021",false,1
925,Noah Y.,“Joe Biden is handing our power grid to the Chinese Communist Party.”,Students for Trump,"• February 23,",false,1
926,Eric Litke,"“On average, 17% of a family’s income goes towards child care in Wisconsin.”",Sarah Godlewski,"February 23, 2021",half-true,0
927,Ciara O'Rourke,“Monticello power plant just outside of Pittsburg TX has been closed since 2018 because of renewable energy.”,Viral image,"February 23, 2021",barely-true,1
928,Ciara O'Rourke,"“Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.”",Facebook posts,"February 23, 2021",barely-true,1
929,Phil Galewitz,"The result of lockdowns “has been the destruction of millions of lives across America as well as increased deaths from suicide, substance abuse and despair without any corresponding benefit in Covid mortality.”",Ron DeSantis,"February 23, 2021",barely-true,1
930,Louis Jacobson,“COVID-19 infections down 61% from Trump’s last day. COVID-19 vaccinations up 85% from Trump’s last day. Competence Matters.”,Viral image,"February 23, 2021",mostly-true,0
931,Ciara O'Rourke,“Utah OFFICIALLY starts RECALL for Mitt Romney.”,Facebook posts,"February 23, 2021",false,1
932,Jon Greenberg,“There's over a trillion dollars of money unspent from previous (coronavirus) relief bills ... still sitting in a bank account.”,Steve Scalise,"February 23, 2021",half-true,0
933,Ciara O'Rourke,Jill Biden was a teenage babysitter for Joe Biden’s family.,Viral image,"February 22, 2021",false,1
934,Daniel Funke,“Joe Biden’s Dept. of Energy Blocked Texas from Increasing Power Ahead of Killer Storm”,Infowars,"February 22, 2021",pants-fire,1
935,Miriam Valverde,"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",Cory Booker,"February 22, 2021",true,0
936,Amy Sherman,"“The vast majority of the American people” support Biden’s $1.9 trillion rescue plan, “including a majority of Republicans.”",Joe Biden,"February 22, 2021",half-true,0
937,Victoria Knight,"The science says “open the schools, stop wearing masks outside, and everyone at low risk should start living normal lives.""",Buck Sexton,"February 19, 2021",false,1
938,Samantha Putterman,Says Joe Biden didn’t act in response to the emergency in Texas.,Facebook posts,"February 19, 2021",false,1
939,Ciara O'Rourke,"A Texas energy company billed a customer more than $200,000.",Viral image,"February 19, 2021",half-true,0
940,Madison Czopek,"“If you make $50,000/year, $36 of your taxes goes to food stamps. $4,000 goes to corporate subsidies.”",Facebook posts,"February 19, 2021",false,1
941,Amy Sherman,"“Energy experts and State House Dems, among others, were warning of this (the Texas power blackout) for years.”",Beto O'Rourke,"February 19, 2021",true,0
942,Daniel Funke,"Donald Trump's second impeachment ""cost $33 million.""",Facebook posts,"February 19, 2021",false,1
943,Ciara O'Rourke,"Says Ted Cruz tweeted, “I’ll believe in climate change when Texas freezes over.”",Viral image,"February 19, 2021",false,1
944,Noah Y.,The snow is government-generated or fake.,Facebook posts,"• February 19,",pants-fire,1
945,Tom Kertscher,Photo shows an ice mass hanging inside a Houston home during Texas winter storms.,Facebook posts,"February 19, 2021",false,1
946,Brandon Mulder,"""Our wind and our solar got shut down ... and that thrust Texas into this situation where it was lacking power at a statewide basis.”",Greg Abbott,"February 19, 2021",false,1
947,Tom Kertscher,“FEMA is paying for hotel rooms!!!” for Texas winter storm victims.,Facebook posts,"February 19, 2021",false,1
948,Laura Schulte,"“Nobody’s health is at risk right now” from PFAS contamination, as long as they are receiving bottled drinking water",Scott Manley,"February 19, 2021",false,1
949,Tom Kertscher,Says Joe Biden “helps build Afghanistan’s pipeline.”,Facebook posts,"February 18, 2021",false,1
950,Noah Y.,"""The Texas power grid is not part of the US power grid because they wanted to avoid federal regulation.”",Facebook posts,"• February 18,",true,0
951,Louis Jacobson,"""If we kept (the minimum wage) indexed to inflation, people would be making $20 an hour right now.”",Joe Biden,"February 18, 2021",false,1
952,Landon Allison,Said Rep. Alexandria Ocasio-Cortez and her allies “blocked a resolution condemning anti-Semitism — which I passed unanimously in the Senate.”,Ted Cruz,"February 18, 2021",barely-true,1
953,Jon Greenberg,"“There is a consensus among economists left, right, and center… that we can’t spend too much” on COVID-19 relief.",Joe Biden,"February 18, 2021",barely-true,1
954,Tom Kertscher,“The United States was energy independent in 2019 for the first time since 1957. In just 10 days we are sent back 50 years.”,Facebook posts,"February 18, 2021",barely-true,1
955,Tom Kertscher,Says Joe Biden “will redirect the $30 billion” that Donald Trump “left for U.S. farmers to ‘climate change.’”,Facebook posts,"February 18, 2021",barely-true,1
956,Paul Specht,“Gov Roy Cooper does not consider Type 1 diabetes an under lying health issue!”,Billboard,"February 17, 2021",false,1
957,Daniel Funke,"""Schools are trying to make a law that teachers can see girls' private parts to make sure they're not trans.""",TikTok posts,"February 17, 2021",barely-true,1
958,Noah Y.,"“Unbeknownst to most people, the Green New Deal came to Texas; the power grid in the state became totally reliant on windmills.”",Tucker Carlson,"• February 17,",pants-fire,1
959,Natalie Dunlap,"President Joe Biden’s day one approach to immigration included ""blanket amnesty and halting border wall construction.""",Ashley Hinson,"February 17, 2021",half-true,0
960,Miriam Valverde,"“For the first time in American history, if you're seeking asylum ... you can't do it from the United States. … You’ve got to seek asylum from abroad.”",Joe Biden,"February 17, 2021",barely-true,1
961,Dave Boucher,“Too many dead people voted” in Michigan,Mike Shirkey,"February 16, 2021",false,1
962,Tom Kertscher,“Biden signs 45% capital gains tax. Kiss your inheritance goodbye.”,Facebook posts,"February 16, 2021",false,1
963,Noah Y.,Says death reports in federal database show the fatal risk of COVID-19 vaccines.,Facebook posts,"• February 16,",barely-true,1
964,Bill McCarthy,"“So California is requiring signature verification for Gavin Newsom’s recall, but didn’t require it for the mail in ballots.”",Kevin Sorbo,"February 16, 2021",pants-fire,1
965,Daniel Funke,"Says Joe Biden planned a winter storm as ""warfare, an attack on Texas by altering the jet stream.""",Facebook posts,"February 16, 2021",pants-fire,1
966,Ciara O'Rourke,“NASA admits that man-made climate change is a hoax!”,Viral image,"February 16, 2021",false,1
967,Eric Litke,Ron Johnson didn’t “show up” for a day of impeachment hearings.,Mark Pocan,"February 16, 2021",pants-fire,1
968,Ciara O'Rourke,Photo shows the “USS Al Gore Global Warming Research Vessel” covered in ice.,Viral image,"February 16, 2021",false,1
969,Eric Litke,Says Jan. 6 Capitol riot “didn’t seem like an armed insurrection.”,Ron Johnson,"February 15, 2021",pants-fire,1
970,Madison Czopek,Says Nabisco is closing plants in Georgia and New Jersey and “moving to Mexico” because of Biden’s election.,Facebook posts,"February 15, 2021",false,1
971,Tom Kertscher,Says Joe Biden’s order stopping the Keystone pipeline “made oil more expensive for us to use.”,Facebook posts,"February 15, 2021",barely-true,1
972,Bill McCarthy,"“You may not have stayed in a hotel in the past year, but illegals arriving since Biden’s inauguration, they get to stay free of charge.”",Laura Ingraham,"February 15, 2021",barely-true,1
973,Paul Specht,“Almost 40% of borrowers with student loan debt didn't finish their degree.”,Alma Adams,"February 12, 2021",mostly-true,0
974,Daniel Funke,"After the Capitol insurrection, “one of the first people arrested was a leader of antifa.""",Michael van der Veen,"February 12, 2021",barely-true,1
975,Noah Y.,Says Joe Biden “is trying to shut FL’s border.”,Ron DeSantis,"• February 12,",false,1
976,Brandon Mulder,“Innocent lives will be saved” by ending taxpayer funding of Planned Parenthood.,Greg Abbott,"February 12, 2021",false,1
977,Eric Litke,November election data shows a “stunning anomaly in the rejection rate of absentee ballots.”,Dan O'Donnell,"February 12, 2021",false,1
978,Kiannah Sepeda-Miller,"“Pritzker’s Hierarchy of Vaccine Priorities” puts prisoners, politicians and college students ahead of “individuals with high-risk health factors, and everyone else.”",Illinois Republican Party,"February 12, 2021",half-true,0
979,Haley BeMiller,"“We know mask mandates work. There’s enough evidence out there between counties that have done it and counties that haven’t.""",Gordon Hintz,"February 12, 2021",true,0
980,Carmen Heredia,"South Dakota ""did have tragedies and we did have losses. But we also got through (the pandemic) better than virtually every other state.""",Kristi Noem,"• February 12,",barely-true,1
981,Samantha Putterman,“President Biden is raising the prices of insulin and Epi-Pens on those with high costs and the uninsured.”,Mark Walker,"February 11, 2021",barely-true,1
982,Noah Y.,“Manipulated Video used in House Impeachment Looks to Have VIOLATED House Rules”,Bloggers,"• February 11,",false,1
983,Daniel Funke,"Doctors and nurses who administer the coronavirus vaccine can be ""tried as war criminals.""",Bloggers,"February 11, 2021",pants-fire,1
984,D.L. Davis,"""The committee that advises @GovEvers and his department tasked with leading during this pandemic is recommending allowing prisoners to receive the vaccine before 65 year old grandma?”",Mark Born,"February 11, 2021",half-true,0
985,Chris Nichols,Raising the national minimum wage to $15 per hour “would destroy up to 3.7 million jobs.”,Kevin McCarthy,"February 11, 2021",false,1
986,Cassidey Kavathas,“No state gets back less from Washington than New York state.”,Andrew Cuomo,"February 11, 2021",mostly-true,0
987,Tom Kertscher,"""The Clinton Foundation folded.”",Facebook posts,"February 11, 2021",pants-fire,1
988,Ciara O'Rourke,"Says Gorilla Glue tweeted, “Do not use our products on your f------ hair.”",Viral image,"February 10, 2021",false,1
989,Tom Kertscher,"""The Biden family is so heavily invested in oil and energy in other countries.""",Facebook posts,"February 10, 2021",barely-true,1
990,Daniel Funke,“Not one court has looked at the evidence and said that Biden legally won” the presidential election.,Facebook posts,"February 10, 2021",pants-fire,1
991,Amy Sherman,"“If you're making less than $15 an hour, you're living below the poverty wage.”",Joe Biden,"February 10, 2021",half-true,0
992,Ciara O'Rourke,Photo shows Tampa Mayor Jane Castor maskless at Super Bowl.,Viral image,"February 10, 2021",false,1
993,Samantha Putterman,Says Cracker Barrel’s name has racist origins and its logo depicts a whip.,Facebook posts,"February 9, 2021",false,1
994,Daniel Funke,"""Trump Won Two-Thirds of Election Lawsuits Where Merits Considered""",Bloggers,"February 9, 2021",false,1
995,Bill McCarthy,“Only one person died on that day” during the Jan. 6 U.S. Capitol riot.,Greg Kelly,"February 9, 2021",false,1
996,Jill Terreri,The COVID-19 vaccine “went out for distribution” in Nebraska “days before the FDA even said they were going to approve it.”,Lee Merritt,"• February 9,",false,1
997,Noah Y.,"“Biden’s Air Force One is not the same as Trump’s Air Force One,” which indicates Biden is not the real president.",Facebook posts,"• February 9,",pants-fire,1
998,Jill Terreri,“But we’re below the national average in number of deaths in nursing homes.”,Andrew Cuomo,"• February 9,",mostly-true,0
999,Ciara O'Rourke,Photo shows Joe Biden asleep at his desk.,Viral image,"February 9, 2021",false,1
1000,Amy Sherman,"“More than 200,000 DACA recipients are essential infrastructure workers” including “41,700 DACA recipients in the healthcare industry”",Richard Durbin,"February 9, 2021",mostly-true,0
1001,Bill McCarthy,"Says Joe Biden said, “Buy a man eat fish, he day, teach fish man, to a lifetime.""",Facebook posts,"February 9, 2021",pants-fire,1
1002,Ciara O'Rourke,Michelle Obama earned a doctorate after leaving the White House.,Viral image,"February 9, 2021",false,1
1003,Samantha Putterman,“Pfizer and Moderna could share their design with dozens of other pharma companies who stand ready to produce their vaccines and end the pandemic.”,Facebook posts,"February 9, 2021",barely-true,1
1004,Bill McCarthy,"""Satan flashed in the halftime Super Bowl satanic ritual.""",Facebook posts,"February 8, 2021",false,1
1005,Noah Y.,"“New evidence ties COVID-19 creation to research funded by Fauci""",WorldNetDaily,"• February 8,",false,1
1006,Ciara O'Rourke,"“Shell Oil laying off 9,000 workers” because of Joe Biden.",Facebook posts,"February 8, 2021",false,1
1007,Ciara O'Rourke,“Military rescues tortured children from tunnel beneath Capitol Hill.”,Bloggers,"February 8, 2021",pants-fire,1
1008,Victoria Knight,“Now (Biden) is saying that people who came here illegally can jump ahead of other Americans who have been waiting to get the vaccine.”,Steve Scalise,"February 8, 2021",barely-true,1
1009,Tom Kertscher,“Doctor proves masks don’t work” by vaping through them.,Facebook posts,"February 8, 2021",false,1
1010,Madison Czopek,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",Bloggers,"February 5, 2021",false,1
1011,Paul Specht,Says North Carolina bill to require in-person learning is “stripping out some of the health protocols that are in place.”,Roy Cooper,"February 5, 2021",half-true,0
1012,Clara Hendrickson,“Newly discovered video shows late night deliveries of tens of thousands of illegal ballots 8 hours after deadline.”,The Gateway Pundit,"February 5, 2021",false,1
1013,Tom Kertscher,Seniors around the world who died from COVID vaccine are being improperly listed as “natural causes.”,Facebook posts,"February 5, 2021",false,1
1014,Jon Greenberg,"Says Rep. Brian Fitzpatrick, R-Pa., “stood with Trump and the lies… He stood with QAnon, not you.”",DCCC,"February 5, 2021",barely-true,1
1015,Jon Greenberg,"States are seeing increases in revenue, with an average decline of just 0.12% compared with 2019. Over half of states report positive growth, including California, New York, and Illinois.",Rick Scott,"February 5, 2021",barely-true,1
1016,Tom Kertscher,"“A Miracle! Only 23 Americans Tested Positive for Flu Last Week Compared to 14,657 Cases Reported Last Year at Same Time.”",Facebook posts,"February 5, 2021",half-true,0
1017,Brandon Mulder,Says that Hurricane Harvey “dropped more water on Houston in five days than goes over Niagara Falls in a year.”,John Kerry,"February 5, 2021",false,1
1018,Louis Jacobson,"Under the 2017 tax law, “people who make under $75,000 will have their taxes raised in 2021 and every 2 years after that until 2027.”",Facebook posts,"February 5, 2021",barely-true,1
1019,John Pullano,"""The (Erie Co., N.Y.) health commissioner makes more than the governor, the vice president of the United States, and has a salary that is comparable to Dr. Anthony Fauci.”",Stefan Mychajliw,"February 5, 2021",mostly-true,0
1020,Warren Fiske,On accepting corporate PAC donations,Elaine Luria,"February 5, 2021",full-flop,1
1021,Seth Taylor,"The school voucher bill the Iowa Legislature is considering would ""give your education tax dollars to corporations.""",Christina Blackcloud,"February 4, 2021",mostly-true,0
1022,Ciara O'Rourke,"“Trump assassination foiled, Deep State in panic mode!”",Bloggers,"February 4, 2021",false,1
1023,Daniel Funke,Photo shows Democratic protesters who “stormed the U.S. Capitol in 2018.”,Facebook posts,"February 4, 2021",false,1
1024,Ciara O'Rourke,"Says Denzel Washington said, “I support police over BLM, don’t put them down!”",Bloggers,"February 4, 2021",barely-true,1
1025,Noah Y.,“I don’t even know what (QAnon) is.”,Kevin McCarthy,"• February 4,",false,1
1026,Samantha Putterman,Says Joe Biden “has officially lowered the age of consent to 5 years old.”,Instagram posts,"February 4, 2021",pants-fire,1
1027,Daniel Funke,"Joe Biden ""really did wipe away"" student loan debt.",Facebook posts,"February 4, 2021",false,1
1028,Eric Litke,Gov. Tony Evers “has the authority and revenue necessary” to upgrade the Wisconsin unemployment system without the Legislature.,Jim Steineke,"February 3, 2021",barely-true,1
1029,Ciara O'Rourke,The White House was dark for 10 nights in a row.,Viral image,"February 3, 2021",false,1
1030,Ciara O'Rourke,“US Capitol raided 2/2/21.”,YouTube videos,"February 3, 2021",false,1
1031,Miriam Valverde,"""A lot of these migrants that are coming, we have no way to screen their backgrounds for either health or for security.""",Tom Cotton,"February 3, 2021",false,1
1032,Monique Curet,Says Joe Biden has “allowed males to compete in girls’ sports.”,Facebook posts,"February 2, 2021",false,1
1033,Ciara O'Rourke,Photo shows Rachel Levine’s family.,Viral image,"February 2, 2021",pants-fire,1
1034,Ciara O'Rourke,“Myanmar used Dominion Voting Systems.”,Facebook posts,"February 2, 2021",false,1
1035,Noah Y.,“Donald Trump is the first president in modern history (who) did not start a new war.”,Donald Trump Jr.,"• February 2,",barely-true,1
1036,Chris Nichols,Facebook tried to “shut down” the campaign to recall California Gov. Gavin Newsom.,Bloggers,"February 2, 2021",false,1
1037,Tom Kertscher,Says Nancy Pelosi bought $1.25 million in Tesla stock the day before Joe Biden signed an order “for all federal vehicles” to be electric.,Facebook posts,"February 2, 2021",barely-true,1
1038,Ciara O'Rourke,"H&M advertised a sweatshirt that said, “Koolest Kid in the Klan.”",Viral image,"February 2, 2021",false,1
1039,Madison Black,"Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.""",Chuck Grassley,"February 2, 2021",true,0
1040,Laura Schulte,"""The Legislature spent the last decade passing laws deliberately making it even harder for people to access these critical supports when they need it most, exacerbating the problems with our already-outdated system.”",Tony Evers,"February 2, 2021",half-true,0
1041,Paul Specht,"North Carolina Secretary of State Elaine Marshall ""has won more statewide races than probably anyone else alive.""",Jenna Wadsworth,"February 1, 2021",true,0
1042,Noah Y.,“The Biden administration lost 20 million COVID vaccines.”,Ryan Fournier,"• February 1,",false,1
1043,Bill McCarthy,"Congressional benefits include “free health care, outrageous retirement packages, 67 paid holidays, three weeks paid vacation, unlimited paid sick days.”",Facebook posts,"February 1, 2021",barely-true,1
1044,Tom Kertscher,An “audit report” found that a voting system used in Michigan in the 2020 presidential election was designed to “create systemic fraud.”,Facebook posts,"February 1, 2021",false,1
1045,Ciara O'Rourke,“WHO now saying you do not need to wear a mask.”,Bloggers,"February 1, 2021",false,1
1046,Jon Greenberg,Masks have negative impacts on 68% of children.,Instagram posts,"January 29, 2021",false,1
1047,Samantha Putterman,Says Joe Biden’s inauguration was fake and he is not the legitimate president.,Facebook posts,"January 29, 2021",pants-fire,1
1048,Tom Kertscher,"Says Joe Biden said, “I don’t know what I’m signing,” while signing a document.",Facebook posts,"January 29, 2021",false,1
1049,Tom Kertscher,“U.S. military at the White House arresting Congress.”,Facebook posts,"January 29, 2021",pants-fire,1
1050,Miriam Valverde,"""Only in the Third World do you see this habitual use of prosecutions of former leaders.”",Marco Rubio,"January 29, 2021",false,1
1051,Brandon Mulder,"Says that Biden’s ban on new federal leases will kill 120,000 Texas jobs.",Kevin Brady,"January 29, 2021",half-true,0
1052,Jon Greenberg,“84% of all new electric capacity planned to come onto the electric grid this year is clean energy.”,Joe Biden,"January 29, 2021",mostly-true,0
1053,Tom Kertscher,Says Joe Biden canceled the Keystone pipeline because Warren Buffett “donated $58 million” to his campaign.,Facebook posts,"January 29, 2021",false,1
1054,Madison Czopek,"""In March 2020 the United States deployed 30,000 troops to Europe to ... free child-trafficked children and arrest deep state cabal members.""",Facebook posts,"January 29, 2021",false,1
1055,Daniel Funke,Says Joe Biden is “following through with a fracking ban.”,Facebook posts,"January 28, 2021",barely-true,1
1056,Tom Kertscher,"Soybeans dropped 70 cents and corn 50 cents per bushel in two days, causing farmers to lose big money, “thanks to Biden’s executive orders.”",Facebook posts,"January 28, 2021",barely-true,1
1057,Louis Jacobson,“Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”,Facebook posts,"January 28, 2021",false,1
1058,Eric Litke,“The U.S. Senate cannot convict a former President.”,Scott Walker,"January 28, 2021",barely-true,1
1059,Samantha Putterman,"Says Facebook recently logged users out to track their “off Facebook activity” involving bank accounts, emails and other apps.",Facebook posts,"January 28, 2021",false,1
1060,Daniel Funke,"""Joe Biden admits he is governing like a 'dictator.'""",Charlie Kirk,"January 28, 2021",false,1
1061,Warren Fiske,"“The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.”",Jennifer Boysko,"January 28, 2021",true,0
1062,Eric Litke,Assembly Republicans “have come to the table” and were part of “give and take” compromise on a coronavirus bill.,Jim Steineke,"January 27, 2021",false,1
1063,Daniel Funke,Says Bill Gates said “at least 3 billion people need to die” from the planet.,Instagram posts,"January 27, 2021",false,1
1064,Miriam Valverde,"Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”",Marco Rubio,"January 27, 2021",true,0
1065,Samantha Putterman,Says Biden's Rolex belonged to his late son Beau.,Facebook posts,"January 27, 2021",false,1
1066,Amy Sherman,"""The process to distribute the vaccine, particularly outside of nursing homes and hospitals out into the community as a whole, did not really exist when we came into the White House.""",Ron Klain,"January 27, 2021",barely-true,1
1067,Paul Specht,Says the number of spoiled coronavirus vaccines in North Carolina is “very small ... in the tens.”,Mandy Cohen,"January 26, 2021",half-true,0
1068,Tom Kertscher,Says Donald Trump offered his hotel “to our troops to sleep in after they were put in a car garage.”,Facebook posts,"January 26, 2021",false,1
1069,Noah Y.,Hank Aaron’s death was caused by a COVID-19 vaccine.,Facebook posts,"• January 26,",false,1
1070,Landon Allison,"“New York leads the nation in out-migration of residents, with 126,000 people leaving last year and over one million in the past decade.”",James Tedisco,"January 26, 2021",half-true,0
1071,Tom Kertscher,Says a video shows Joe Biden boasted in 2006 “about voting for ‘700 miles of fence’” and “talking about immigration in some entirely different ways than he does today.”,Facebook posts,"January 26, 2021",half-true,0
1072,Jill Terreri,"“We have scientific data, from all different levels, but particularly from the high school sports levels, from numerous different states that shows that it is safe to play what New York is considering high-risk sports.”",Colin Schmitt,"• January 26,",barely-true,1
1073,Daniel Funke,"“I believe, without having definitive proof, that the military is in charge of our country ... because Joe Biden is an illegal president.”",L. Lin Wood,"January 26, 2021",pants-fire,1
1074,Jon Greenberg,"The Paris Climate Agreement is “bad for America,” because it ""does nothing to hold real polluters, like Communist China and India, accountable.""",Rick Scott,"January 26, 2021",barely-true,1
1075,Haley BeMiller,"""We put $330 million in general school aids — the largest in more than a decade.""",Tony Evers,"January 26, 2021",true,0
1076,Daniel Funke,"Joe Biden was sworn in on a ""Masonic/Illuminati Bible.""",Facebook posts,"January 25, 2021",pants-fire,1
1077,Tom Kertscher,Says Maxine Waters said Trump supporters are “not welcome here” and “we must welcome everyone who crosses our borders.”,Facebook posts,"January 25, 2021",barely-true,1
1078,Monique Curet,Says President Joe Biden sparked a migrant caravan from Honduras and questioned the loyalty of U.S. troops at the inauguration.,Restoration PAC,"January 25, 2021",barely-true,1
1079,Ciara O'Rourke,Photos show Joe Biden with a “Chinese handler.”,Viral image,"January 25, 2021",pants-fire,1
1080,D.L. Davis,"A majority of Americans have voted for a party that … wants a world in which you cannot call your parents mom and dad.""",Glenn Grothman,"January 25, 2021",false,1
1081,Madison Czopek,Says the Biden administration labeled Libertarians terrorists.,"Jeremy ""Spike"" Cohen","January 22, 2021",false,1
1082,Samantha Putterman,National Guard members turned their backs on Biden’s motorcade on Inauguration Day.,Instagram posts,"January 22, 2021",false,1
1083,Bill McCarthy,Video shows Biden saying “salute the Marines” after hearing the words in an earpiece before his inauguration.,Tweets,"January 22, 2021",false,1
1084,Bill McCarthy,"“Democrats forced our GREAT troops to sleep on the ground of a PARKING garage after dragging them to DC for photo ops!""",Facebook posts,"January 22, 2021",false,1
1085,Clara Hendrickson,"In Michigan, “we were able to really flatten” the racial disparity in COVID-19’s impact “and make significant progress.”",Garlin Gilchrist,"January 22, 2021",mostly-true,0
1086,Daniel Funke,"On Inauguration Day, Vice President Kamala Harris “put her clutch on top of the Bible so her hand is not touching it.”",Facebook posts,"January 22, 2021",pants-fire,1
1087,Noah Y.,“WHO admits their testing grossly overstates individuals testing positive for COVID.”,The Gateway Pundit,"• January 22,",false,1
1088,Samantha Putterman,“Go to antifa.com and it takes you to Biden’s White House! … Just a slap in the face.”,Facebook posts,"January 22, 2021",half-true,0
1089,Daniel Funke,"""By revoking the Keystone pipeline permit, Biden is destroying 11,000 jobs.”",Facebook posts,"January 21, 2021",half-true,0
1090,Ciara O'Rourke,"“Military tribunals start Jan. 20, 2021.”",Facebook posts,"January 21, 2021",pants-fire,1
1091,Bill McCarthy,"Says Joe Biden and Democrats ""have not legitimately won"" the presidency.",Rush Limbaugh,"January 21, 2021",pants-fire,1
1092,Samantha Putterman,"Says Biden had to take a private plane to D.C. instead of a government plane “because they know he’s not a legitimate president” and ""the military is now responsible for restoring legitimate civilian government.”",Facebook posts,"January 21, 2021",false,1
1093,Jessica Calefati,“There will be several thousand dollars in payments going to families with six-figure incomes who’ve had no income interruption whatsoever.”,Pat Toomey,"January 21, 2021",true,0
1094,Brandon Mulder,"Says that the Paris Climate Accord will cost the U.S. economy ""6.5 million jobs and $3 trillion in economic growth by 2040.""",Wayne Christian,"January 21, 2021",half-true,0
1095,Ciara O'Rourke,Says Joe Exotic was pardoned.,Facebook posts,"January 21, 2021",false,1
1096,Monique Curet,A photo caption says vendors named “Nah” and “Stop asking me questions before you get your a-- kicked” sold Trump-themed merchandise to “stupid” people outside the U.S. Capitol on Jan. 6.,Instagram posts,"January 20, 2021",pants-fire,1
1097,Ciara O'Rourke,“Military brass band plays ‘Hit the Road Jack’ as Trump leaves office.”,YouTube videos,"January 20, 2021",false,1
1098,Ciara O'Rourke,"Donald Trump’s letter to Joe Biden said, “You know I won.”",Bloggers,"January 20, 2021",false,1
1099,Bill McCarthy,A $15-per-hour minimum wage would raise the price of a Taco Bell burrito to $38.,Jordan Rachel,"January 20, 2021",false,1
1100,Warren Fiske,Virginia ranks “in the bottom third of states” in administering the COVID-19 vaccine.,Kirk Cox,"January 20, 2021",true,0
1101,Eric Litke,“Wisconsin is second to last in the Midwest in our vaccination rate and the governor says he’s ‘satisfied.’”,Rebecca Kleefisch,"January 20, 2021",mostly-true,0
1102,Daniel Funke,"""China was behind the interference and the effort to overthrow our government and the election, election fraud.""",L. Lin Wood,"January 19, 2021",false,1
1103,Monique Curet,"The COVID-19 vaccine is dangerous because 23 people died in Norway ""within hours” of receiving it.",Facebook posts,"January 19, 2021",barely-true,1
1104,Julia Shanahan,Says Joe Biden has plans to ban animal agriculture and gas-powered cars.,Donald Trump,"January 18, 2021",false,1
1105,Daniel Funke,“Barack Obama was arrested.”,Facebook posts,"January 18, 2021",pants-fire,1
1106,Bill McCarthy,President Donald Trump “can’t say anything (about the U.S. Capitol riot) because the platforms have removed him.”,Hogan Gidley,"January 18, 2021",false,1
1107,Daniel Funke,A video shows Joe Biden lost and confused on stage.,Donald Trump Jr.,"January 18, 2021",pants-fire,1
1108,Tom Kertscher,"“CNN-NPR photojournalist Jade Sacker was embedded with antifa leader"" during the U.S. Capitol attack.",Facebook posts,"January 18, 2021",barely-true,1
1109,Samantha Putterman,"Says Gen. David H. Berger, commandant of the U.S. Marine Corps., refused Nancy Pelosi’s request to use the Marines for inauguration security, telling her “we don’t work for you.”",Bloggers,"January 17, 2021",false,1
1110,Jessica Calefati,Says unproven voter fraud claims didn’t play “any role” in the Capitol riot.,Jake Corman,"January 17, 2021",pants-fire,1
1111,Amy Sherman,"“Inauguration Cancelled, Trump Remains in Office.”",Facebook posts,"January 16, 2021",pants-fire,1
1112,Miriam Valverde,Says a photo shows armed soldiers protecting Joe Biden’s inauguration.,Facebook posts,"January 16, 2021",barely-true,1
1113,Tom Kertscher,Says Joe Biden stayed silent about violence at Black Lives Matter protests.,Instagram posts,"January 16, 2021",false,1
1114,Brandon Mulder,Says that “the way to reach ‘herd immunity’ is for >70% of the population to get vaccinated.”,Jon Rosenthal,"January 15, 2021",mostly-true,0
1115,Warren Fiske,“Antifa is the culprit” in the Capitol riot.,Amanda Chase,"January 15, 2021",pants-fire,1
1116,Eric Litke,"""It takes quite a while on Election Day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""",Devin LeMahieu,"January 15, 2021",true,0
1117,Tom Kertscher,“Coronavirus vaccinations seem to be causing 50 times the adverse events of flu vaccinations after just the first of two shots.”,Facebook posts,"January 15, 2021",barely-true,1
1118,Samantha Putterman,A photo shows Democratic lawmakers wearing clothing and masks with the Nazi swastika.,Viral image,"January 15, 2021",pants-fire,1
1119,Nusaiba Mizan,"“It wasn’t all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.”",Sarah Godlewski,"January 15, 2021",true,0
1120,Samantha Putterman,"Photo shows Rep. Lauren Boebert with Capitol rioters before she gave them a tour of the building ""one day before the insurrection.""",Facebook posts,"January 14, 2021",false,1
1121,Noah Y.,Antifa provoked the shooting of Ashli Babbitt at the Capitol.,Bloggers,"• January 14,",pants-fire,1
1122,Bill McCarthy,Says Rep. Pramila Jayapal was not wearing a mask in Congress during the U.S. Capitol mob.,Facebook posts,"January 14, 2021",barely-true,1
